Hanzi,Pinyin,O'zbekcha
教育,jiàoyù,ta'lim; o'qitmoq
接受,jiēshòu,qabul qilmoq
接着,jiēzhe,davom ettirmoq
节,jié,dars uchun hisob so'z
节约,jiéyuē,tejash
结果,jiéguǒ,natija
解释,jiěshì,tushuntirmoq; tushuntirish
尽管,jǐnguǎn,qaramay
紧张,jǐnzhāng,tashvishlanmoq; hayajonlanmoq
进行,jìnxíng,o'tkazmoq
禁止,jìnzhǐ,man etmoq; ta'qiqlamoq
京剧,jīngjù,Pekin operasi
经济,jīngjì,iqtisodiyot
经历,jīnglì,o'tmoq; hayotiy tajriba
经验,jīngyàn,tajriba
精彩,jīngcǎi,muhtasham
景色,jǐngsè,manzara
警察,jǐngchá,militsiya
竞争,jìngzhēng,kurashmoq; raqobatlashmoq
竟然,jìngrán,to'satdan
镜子,jìngzi,oyna
究竟,jiūjìng,hanuz; hali hamon
举,jǔ,ko'tarmoq
举办,jǔbàn,uyushtirmoq
举行,jǔxíng,bo'lib o'tmoq
拒绝,jùjué,rad etmoq
距离,jùlí,-dan masofada
聚会,jùhuì,marosim
开玩笑,kāi wánxiào,hazl qilmoq
开心,kāixīn,quvnoq; xursand
看法,kànfǎ,fikr; qarash
考虑,kǎolǜ,o'ylab ko'rmoq
科学,kēxué,ilm
棵,kē,o'simliklar uchun hisob so'z
咳嗽,késou,yo'talmoq
可怜,kělián,achinarli
可是,kěshì,ammo; lekin
可惜,kěxī,afsuski
客厅,kètīng,mehmonxona
肯定,kěndìng,albatta
空,kōng,bosh
空气,kōngqì,havo
恐怕,kǒngpà,balki
苦,kǔ,achchiq
矿泉水,kuàngquánshuǐ,mineral suv
困,kùn,uyqusirash
困难,kùnnan,qiyinchilik; qiyin
垃圾桶,lājītǒng,axlat chelagi
拉,lā,sudramoq
辣,là,achchiq
来不及,láibují,ulgura olmaslik
来得及,láidejí,ulgurmoq
来自,láizì,kelmoq
懒,lǎn,erinchoq
浪费,làngfèi,isrof qilmoq; behuda sarflamoq
浪漫,làngmàn,ishqiy; romantika
老虎,lǎohǔ,yo'lbars
冷静,lěngjìng,sovuqqonlik; tinchlanmoq
离婚,líhūn,ajrashmoq
礼拜天,lǐbàitiān,yakshanba
礼貌,lǐmào,muloyim
理发,lǐfà,soch oldirmoq
理解,lǐjiě,tushunmoq; anglab yetmoq
理想,lǐxiǎng,niyat; umid
力气,lìqi,kuch
厉害,lìhai,kuchli
俩,liǎ,juft
连,lián,hattoki; uzluksiz
联系,liánxì,bog'lanmoq; aloqa
凉快,liángkuai,salqin
零钱,língqián,mayda pul; chaqa
另外,lìngwài,boshqa
留,liú,qolmoq
流利,liúlì,ravon
流行,liúxíng,tanilgan; ommabop
旅行,lǚxíng,sayohat qilmoq
律师,lǜshī,yurist
乱,luàn,tartibsizlik
麻烦,máfan,ovoragarchilik; ovora qilmoq; bezovta
马虎,mǎhu,ma'suliyatsiz; beparvo
满,mǎn,to'la
毛,máo,jun; Xitoy tangasi
毛巾,máojīn,sochiq
美好,měihǎo,ajoyib
美丽,měilì,chiroyli
梦,mèng,orzu; tush ko'rmoq
迷路,mílù,adashib qolmoq; yo'ldan ozmoq
密码,mìmǎ,sir
免费,miǎnfèi,tekin
秒,miǎo,soniya
民族,mínzú,millat
母亲,mǔqīn,ona
目的,mùdì,maqsad
内,nèi,ichida; ichkarida
内容,nèiróng,mundarija
耐心,nàixīn,sabr toqat; bardosh
难道,nándào,nahotki
难受,nánshòu,tobi yo'qlik
能力,nénglì,qobiliyat
年龄,niánlíng,yosh
弄,nòng,qilmoq
暖和,nuǎnhuo,iliq
偶尔,ǒu'ěr,ba'zan; ba'zi paytlar
排队,páiduì,navbatga turmoq
排列,páiliè,tartibga solmoq
排球,páiqiú,voleybol
判断,pànduàn,qaror
陪,péi,kuzatmoq
批评,pīpíng,nasihat qilmoq; tanqid
皮肤,pífū,teri
脾气,píqi,xarakter
篇,piān,maqolalar uchun ishlatiladi
骗,piàn,aldamoq
乒乓球,pīngpāngqiú,stol tennisi
平时,píngshí,odatda
瓶子,píngzi,shisha
破,pò,sinmoq; yirtilmoq
葡萄,pútao,uzum
普遍,pǔbiàn,umumiy; universal
其次,qícì,keyingi navbatda; ikkinchidan
其中,qízhōng,orasida
起来,qǐlái,bo'lib qolmoq; ko'tarilmoq
气候,qìhòu,iqlim
千万,qiānwàn,hechqachon; har qanday holatda ham
签证,qiānzhèng,viza
敲,qiāo,taqillatmoq
桥,qiáo,ko'prik
巧克力,qiǎokèlì,shokolad
亲戚,qīnqi,qarindosh-urug'lar
轻,qīng,yengil
轻松,qīngsōng,shalpaygan; hordiq chiqarmoq
情况,qíngkuàng,holat; ahvol
请假,qǐngjià,ta'til olmoq; javob so'ramoq
穷,qióng,kambag'al
区别,qūbié,farq
取,qǔ,olmoq
全部,quánbù,butunlay; hamma
缺点,quēdiǎn,kamchilik
缺少,quēshǎo,yetishmovchilik
却,què,ammo
确实,quèshí,haqiqatdan; rostdan
然而,rán'ér,lekin; ammo
热闹,rènao,faol; tirishqoq; shovqinli
任何,rènhé,har qanday
任务,rènwu,masala
扔,rēng,tashlab yubormoq
仍然,réngrán,oldingidek; hali ham
日记,rìjì,kundalik
入口,rùkǒu,kirish
散步,sànbù,sayrga chiqmoq
森林,sēnlín,o'rmon
沙发,shāfā,divan
伤心,shāngxīn,qayg'urmoq
商量,shāngliang,maslahatlashmoq
稍微,shāowēi,ozgina
勺子,sháozi,qo'shiq
社会,shèhuì,jamoa
申请,shēnqǐng,ariza bermoq
深,shēn,chuqur
甚至,shènzhì,hattoki
生活,shēnghuó,hayot
生命,shēngmìng,hayot
生意,shēngyi,biznes; tadbirkorlik
省,shěng,viloyat
剩,shèng,qolmoq
失败,shībài,yutqizmoq; yutqazish
失望,shīwàng,umidsizlanmoq; ko'ngli qolmoq
师傅,shīfu,ustoz
十分,shífēn,juda
实际,shíjì,haqiqatdan
实在,shízài,rostgo'y; rost
使,shǐ,qilmoq; ruxsat bermoq
使用,shǐyòng,ishlatmoq
世纪,shìjì,asr
是否,shìfǒu,ha yoki yo'q
适合,shìhé,to'g'ri kelmoq
适应,shìyìng,moslashmoq
收,shōu,qabul qilmoq; olmoq
收入,shōurù,daromad
收拾,shōushi,yig'moq; to'plamoq
首都,shǒudū,poytaxt
首先,shǒuxiān,birinchi navbatda; avvalambor
受不了,shòubuliǎo,chidayolmaslik
受到,shòudào,qabul qilmoq
售货员,shòuhuòyuán,sotuvchi
输,shū,yutqazmoq
熟悉,shúxī,yaxshi bilmoq; yaxshi tanimoq
数量,shùliàng,son
数字,shùzì,miqdor
帅,shuài,kelishgan
顺便,shùnbiàn,yo'l-yo'lakay
顺利,shùnlì,omadli
顺序,shùnxù,tartib
说明,shuōmíng,tanishtiruv
硕士,shuòshì,magistr
死,sǐ,o'lmoq
速度,sùdù,tezlik
塑料袋,sùliàodài,sellofan xalta; plastik xalta
酸,suān,nordon; uyushmoq
随便,suíbiàn,xohlagancha
随着,suízhe,ketidan
孙子,sūnzi,nevara
所有,suǒyǒu,har bir; hamma
台,tái,texnik uskunalar uchun hisob so'z
抬,tái,ko'tarmoq
态度,tàidu,munosabat; muomala
谈,tán,gaplashmoq; suhbatlashmoq
弹钢琴,tán gāngqín,pianino chalmoq
汤,tāng,sho'rva
糖,táng,konfet
躺,tǎng,yotmoq
趟,tàng,marta
讨论,tǎolùn,muhokama qilmoq; muhokama
讨厌,tǎoyàn,zeriktirmoq; zerikarli
特点,tèdiǎn,xususiyat
提,tí,ko'tarmoq
提供,tígōng,taqdim etmoq
提前,tíqián,oldinroq; tezlatmoq
提醒,tíxǐng,eslatmoq
填空,tiánkòng,bo'sh joyni to'ldirish
条件,tiáojiàn,shart
停,tíng,to'xtamoq
挺,tǐng,juda
通过,tōngguò,o'tmoq
通知,tōngzhī,xabar bermoq; bildirishnoma
同情,tóngqíng,hamdard bo'lmoq; g'amxo'rlik
推,tuī,itarmoq
推迟,tuīchí,kechiktirmoq; keyinga surmoq
脱,tuō,yechmoq
袜子,wàzi,paypoq
完全,wánquán,butunlay
网球,wǎngqiú,tennis
网站,wǎngzhàn,sayt
往,wǎng,yo'nalish
往往,wǎngwǎng,doimo
危险,wēixiǎn,xavfli
卫生间,wèishēngjiān,xojatxona
味道,wèidào,ta'm
温度,wēndù,harorat
文章,wénzhāng,maqola
污染,wūrǎn,ifloslantirmoq
无,wú,inkorni ifodalaydi
无聊,wúliáo,zerikarli
无论,wúlùn,qanday bo'lmasin
误会,wùhuì,noto'g'ri tushunmoq; anglashilmovchilik
西红柿,xīhóngshì,pomidor
吸引,xīyǐn,jalb qilmoq; o'ziga tortmoq
咸,xián,sho'r
现金,xiànjīn,naqd pul
羡慕,xiànmù,havas qilmoq
相反,xiāngfǎn,qarama-qarshi
相同,xiāngtóng,bir xil
香,xiāng,xushbo'y
详细,xiángxì,batafsil
响,xiǎng,tovush chiqarish
橡皮,xiàngpí,o'chirg'ich
消息,xiāoxi,xabar
小吃,xiǎochī,tamaddi; gazak
小说,xiǎoshuō,novella
效果,xiàoguǒ,ta'sir
笑话,xiàohua,latifa; kuldirmoq
心情,xīnqíng,kayfiyat
辛苦,xīnkǔ,charchamoq; toliqmoq
信封,xìnfēng,konvert
信息,xìnxī,yangilik
信心,xìnxīn,ishonch
兴奋,xīngfèn,hayajonli
行,xíng,xo'p; mayli
醒,xǐng,uyg'onmoq
幸福,xìngfú,quvonchli; baxt
性别,xìngbié,jins
性格,xìnggé,fe'l-atvor
修理,xiūlǐ,tuzatmoq
许多,xǔduō,ko'p
压力,yālì,tazyiq; zo'rlash
牙膏,yágāo,tish pastasi
亚洲,Yàzhōu,Osiyo
呀,ya,undov so'z
严格,yángé,qattiqqo'l
严重,yánzhòng,jiddiy; og'ir
研究,yánjiū,izlash
盐,yán,tuz
眼镜,yǎnjìng,ko'zoynak
演出,yǎnchū,ijro etmoq
演员,yǎnyuán,aktyor
阳光,yángguāng,quyosh nuri
养成,yǎngchéng,odatlanmoq
样子,yàngzi,tashqi ko'rinish
邀请,yāoqǐng,taklif etmoq
要是,yàoshì,agar
钥匙,yàoshi,kalit
也许,yěxǔ,balki
叶子,yèzi,barg
页,yè,varaq
一切,yíqiè,hamma
以,yǐ,yordamida
以为,yǐwéi,taxmin qilmoq; o'ylamoq
艺术,yìshù,san'at
意见,yìjiàn,taklif
因此,yīncǐ,shu bois
引起,yǐnqǐ,keltirib chiqarmoq
印象,yìnxiàng,taassurot
赢,yíng,g'alaba qozonmoq; yutmoq
应聘,yìngpìn,ishga taklif etmoq
永远,yǒngyuǎn,doimo
勇敢,yǒnggǎn,jasur
优点,yōudiǎn,afzallik
优秀,yōuxiù,atoqli
幽默,yōumò,kulgili
尤其,yóuqí,xususan
由,yóu,kimdan; qayerdan
由于,yóuyú,tufayli
邮局,yóujú,pochta
友好,yǒuhǎo,do'stona
友谊,yǒuyì,do'stlik
有趣,yǒuqù,qiziqarli
于是,yúshì,o'shanda
愉快,yúkuài,quvnoq
与,yǔ,va
羽毛球,yǔmáoqiú,badminton
语法,yǔfǎ,grammatika
语言,yǔyán,til
预习,yùxí,ko'zdan kechirmoq; takrorlamoq
原来,yuánlái,oldingi
原谅,yuánliàng,kechirmoq
原因,yuányīn,sabab
约会,yuēhuì,uchrashmoq; uchrashuv
阅读,yuèdú,o'qimoq
云,yún,bulut
允许,yǔnxǔ,ruxsat bermoq
杂志,zázhì,jurnal
咱们,zánmen,biz
暂时,zànshí,hozircha
脏,zāng,kir
责任,zérèn,vazifa; burch
增加,zēngjiā,ko'paymoq
占线,zhànxiàn,telefonning band bo'lishi
招聘,zhāopìn,ishga olmoq; ishga taklif qilmoq
照,zhào,oynaga qaramoq
真正,zhēnzhèng,rostgo'y
整理,zhěnglǐ,tartibga solmoq
正常,zhèngcháng,odatdagi
正好,zhènghǎo,o'rinli
正确,zhèngquè,aniq
正式,zhèngshì,rasmiy
证明,zhèngmíng,isbotlamoq
之,zhī,yordamchi so'z
支持,zhīchí,madad bermoq; ko'maklashmoq; madad
知识,zhīshi,bilim
直接,zhíjiē,to'g'ri; bevosita
值得,zhídé,loyiq bo'lmoq
职业,zhíyè,kasb
植物,zhíwù,o'simlik
只好,zhǐhǎo,majbur bo'lmoq
只要,zhǐyào,faqatgina
只有,zhǐyǒu,faqatgina
指,zhǐ,ko'rsatmoq
至少,zhìshǎo,kamida
质量,zhìliàng,sifat
重,zhòng,og'ir
重点,zhòngdiǎn,muhim
重视,zhòngshì,qadrlamoq
周围,zhōuwéi,atrof-muhit
主意,zhǔyi,g'oya; fikr
祝贺,zhùhè,tabriklamoq
著名,zhùmíng,mash'hur bo'lmoq
专门,zhuānmén,maxsus
专业,zhuānyè,ixtisos
转,zhuǎn,aylanmoq
赚,zhuàn,foyda olmoq
准确,zhǔnquè,aniq
准时,zhǔnshí,vaqtida
仔细,zǐxì,puxta
自然,zìrán,tabiat
自信,zìxìn,o'ziga ishonmoq
总结,zǒngjié,jamlamoq
租,zū,ijaraga olmoq
最好,zuìhǎo,eng yaxshi; yaxshisi
尊重,zūnzhòng,hurmat qilmoq
左右,zuǒyòu,taxminan; atrofida
作家,zuòjiā,yozuvchi
作者,zuòzhě,muallif
座位,zuòwèi,o'rin
