Hanzi,Pinyin,O'zbekcha
关,guān,Yopmoq; o’chirmoq
关闭,guānbì,Yopmoq; qulflamoq
关怀,guānhuái,G’amxo’rlik qilmoq; g’am yeyish
关键,guānjiàn,Hal qiluvchi; hal qiluvchi savol
关系,guānxì,Aloqa
关心,guānxīn,G’amxo’rlikqilmoq
关于,guānyú,Aloqasi bo’lmoq; to’g’risida; haqida
观察,guānchá,Ta’qib qilmoq; ko’rib chiqmoq
观点,guāndiǎn,Munosabat; nuqtai nazar; qarash
观念,guānniàn,G’oya; mafkura; nazar
观众,guānzhòng,Tomoshabin; xaloyiq
管理,guǎnlǐ,Boshqarmoq; boshqaruv
管子,guǎnzi,Quvur
冠军,guànjūn,G’olib; chempion
罐头,guàntou,Konserva banka
光,guāng,Nur; faqat; tugatmoq
光滑,guānghuá,Silliq; tekis; tiniq
光临,guānglín,Yetib kelmoq
光明,guāngmíng,Yarqirash; rangli; rang; shon-sharaf
光盘,guāngpán,Disk
光荣,guāngróng,Faxr; faxrli; faxriy
广播,guǎngbō,Radio
广场,guǎngchǎng,Maydon
广大,guǎngdà,Keng; bepoyon
广泛,guǎngfàn,Keng; enli
广告,guǎnggào,E’lon; reklama
逛,guàng,Aylanmoq
规定,guīdìng,O’rnatmoq; tayinlamoq
规矩,guīju,Qonun
规律,guīlǜ,Qonun; qonuniylik
规模,guīmó,Masofa; masshtab; razmer
规则,guīzé,Qonun; tartib
贵,guì,Qimmat
柜台,guìtái,Peshtaxta
滚,gǔn,Dumalamoq; g’ildiratmoq
锅,guō,Kastryulka
国籍,guójí,Fuqarolik
国际,guójì,Xalqaro
国家,guójiā,Davlat
国庆节,Guóqìngjié,Milliy bayram
果然,guǒrán,Haqiqatdan
果实,guǒshí,Meva
果汁,guǒzhī,Sharbat
过程,guòchéng,Jarayon
过分,guòfèn,Juda; haddan tashqari
过敏,guòmǐn,Allergiya
过期,guòqī,Kechiktirmoq; kechiktirish
过去,guòqù,Bosib o’tmoq;o’tib ketmoq
哈,hā,Ha-ha-ha
还,hái,Yana; hali
还是,háishì,Yoki; yana
孩子,háizi,Bola
海关,hǎiguān,Bojxona
海鲜,hǎixiān,Dengiz mahsuloti
海洋,hǎiyáng,Ummon
害怕,hàipà,Qo’rqmoq
害羞,hàixiū,Uyatchan; hayajonli
寒假,hánjià,Qishki ta’til
喊,hǎn,Baqirmoq; baqirib aytmoq
汗,hàn,Ter
汉语,Hànyǔ,Xitoy tili
航班,hángbān,Reys; samolyot qatnovi
行业,hángyè,Soha; tarmoq
豪华,háohuá,Dabdabali; hashamatli
好,hǎo,Yaxshi; yoqimli
好吃,hǎochī ,Mazali; totli
好处,hǎochu,Foyda
好像,hǎoxiàng,O’xshamoq
号,hào,Raqam; sana; o’lchov
号码,hàomǎ,Raqam
好奇,hàoqí,Sinchkov; qiziquvchi; minishga qulay
喝,hē,Ichmoq
河,hé,Daryo
和,hé,Va; muloyim; yumshoq
和平,hépíng,Tinchlik
何必,hébì,Nega? Nima uchun?
何况,hékuàng,Ayniqsa
合法,héfǎ,Qonuniy
合格,hégé,Me’yorga muvofiq bo’lmoq
合理,hélǐ,Oqilona; aqlga asoslangan
合适,héshì,Mos; muvofiq; loyiq
合同,hétong,Shartnoma
合影,héyǐng,Birga rasmga tushmoq
合作,hézuò,Hamkorlik qilmoq; hamkor
核心,héxīn,O’zak; mag’iz; yadro
盒子,hézi,Quti
黑,hēi,Qora
黑板,hēibǎn,Doska
很,hěn,Juda
恨,hèn,Nafratlanmoq; yomon ko’rmoq
横,héng,Ko’ndalang; eniga
红,hóng,Qizil
猴子,hóuzi,Maymun
厚,hòu,Qalin
后果,hòuguǒ,Oqibat; natija
后悔,hòuhuǐ,Afsuslnmoq
后来,hòulái,Keyin
后面,hòumiàn,Orqa; orqa tomon
忽然,hūrán,To’satdan
忽视,hūshì,E’tiborsiz qoldirmoq
呼吸,hūxī,Nafas olmoq
壶,hú,Choynak
蝴蝶,húdié,Kapalak
胡说,húshuō,Safsata
胡同,hútòng,Tor ko’cha; muyulish
胡须,húxū,Soqol-mo’ylov
糊涂,hútu,Kaltafahm; esi past; aqlsiz
护士,hùshi,Hamshira
护照,hùzhào,Passport
互相,hùxiāng,O’zaro
花生,huāshēng,Yer yong’oq
花园,huāyuán,Bog’
滑冰,huábīng,Konkida uchmoq
划船,huáchuán,Kemada suzmoq
华裔,huáyì,Chetda yashovchi xitoylar
画,huà,Chizmoq; rasm
话题,huàtí,Mavzu (suhbat mavzusi)
化学,huàxué,Kimyo
怀念,huáiniàn,Eslamoq; sog’inmoq
怀疑,huáiyí,Shubhalanmoq; gumon qilmoq
坏,huài,Yomon; yaroqsiz
欢迎,huānyíng,Qutlamoq; xush kelibsiz
还,huán,Qaytarmoq; qaytarib bermoq
环境,huánjìng,Atrof-muhit
缓解,huǎnjiě,Zaiflashtirmoq; bartaraf etmoq; hal qilmoq
换,huàn,Almashtirmoq
幻想,huànxiǎng,Hayol surmoq; orzu qilmoq
慌张,huāngzhāng,Sarosima; esankirash; hayajon
黄,huáng,Sariq; pornografiya
黄瓜,huánguā,Bodring
黄金,huángjīn,Oltin
皇帝,huángdì,Imperator
皇后,huánghòu,Qirolicha
挥,huī,Silkitmoq
灰,huī,Kulrang
灰尘,huīchén,Chang; to’zon; gard
灰心,huīxīn,Umidsizlikka tushmoq
恢复,huīfù,Tiklamoq; asliga keltirmoq
回,huí,Qaytmoq; qaytarmoq
回答,huídá,Javob bermoq
回忆,huíyì,Eslamoq; eslash
会,huì,Qila olmoq; majlis
会议,huìyì,Majlis; konferensiya
汇率,huìlǜ,Valyuta kursi
婚礼,hūnlǐ,To’y
婚姻,hūnyīn,Nikoh
活动,huódòng,Faoliyat; tadbir
活泼,huópō,Jonli; jo’shqin; burro
活跃,huóyuè,Jonlantirmoq; faollashtirmoq; jo’shqin
火,huǒ,Olov; alanga; yong’in
火柴,huǒchái,Gugurt
火车站,huǒchēzhàn,Vokzal
伙伴,huǒbàn,Ulfat; sherik
获得,huòdé,Qabul qilmoq
或者,huòzhě,Yoki(darak gapda ishlatiladi)
基本,jīběn,Asosiy; bosh
基础,jīchǔ,Asos; fundament
机场,jīchǎng,Aeroport
机会,jīhuì,Imkoniyat
机器,jīqì,Mashina; mexanizm;uskuna
鸡蛋,jīdàn,Tovuq tuxumi
激动,jīdòng,Hayajonlanmoq
激烈,jīliè,Darg’azab; jo’shqin; o’tkir
几乎,jīhū,Deyarli
积极,jījí,Faol
积累,jīlěi,Jamg’armoq; to’plamoq; jamg’arma
肌肉,jīròu,Muskul
极,jí,Eng yuqori nuqta; haddan ortiq holat
极其,jíqí,Favqulodda; nihoyatda
及格,jígé,Qoniqarli (baho)
及时,jíshí,O’z vaqtida
集合,jíhé,Yig’ilmoq
集体,jítǐ,Jamoa; kollektiv
集中,jízhōng,To’plamoq; yig’lamoq
急忙,jímáng,Shoshilinch; shoshilmoq
即使,jíshǐ,Agar … ham…
几,jǐ,Bir qancha; nechta?
寄,jì,Yubormoq; jo’natmoq
记得,jìde,Eslamoq
记录,jìlù,Yozib olmoq; qayd
记忆,jìyì,Eslamoq
记者,jìzhě,Muxbir; jurnalist
计划,jìhuà,Rejalashtirmoq; reja
计算,jìsuàn,Hisoblamoq; hisoblash
季节,jìjié,Fasl
系领带,jì lǐngdài ,Galstuk bog’lamoq
纪录,jìlù,Rekord
纪律,jìlǜ,Tartib-intizom; tartibli
纪念,jìniàn,Esdalik
寂寞,jìmò,Yolg’iz; zerikarli
既然,jìrán,Modomiki
技术,jìshù,Texnika
继续,jìxù,Davom ettirmoq
家,jiā,Oila; uy
家具,jiājù,Uy jihozi
家庭,jiātíng,Oila; uy
家务,jiāwù,Uy yumushi
家乡,jiāxiāng,Vatan
加班,jiābān,Qo’shimcha ishlamoq
加油站,jiāyóuzhàn,Yoqilg’i quyish shaxobchasi
嘉宾,jiābīn,Qimmatli mehmon; chumchuq
夹子,jiāzi,Qisgich
甲,jiǎ,Po’st; zirh; tirnoq
假,jiǎ,Soxta
假如,jiǎrú,Agar
假装,jiǎzhuāng,Qiya yopmoq; sal yopmoq
嫁,jià,Turmushga chiqmoq
价格,jiàgé,Narx
价值,jiàzhí,Qiymat; baho; narx
驾驶,jiàshǐ,Boshqarmoq; samolyotni boshqarmoq
煎,jiān,Qovurmoq; qovurilgan
肩膀,jiānbǎng,Yelka
坚持,jiānchí,Astoydil
坚决,jiānjué,Qat’iy; keskin
坚强,jiānqiáng,Qattiq; mustahkam
艰巨,jiānjù,Qiyin
艰苦,jiānkǔ,Qiyin
尖锐,jiānruì,O’tkir; keskir; achchiq
捡,jiǎn,Ko’tarib olmoq
检查,jiǎnchá,Tekshirmoq
简单,jiǎndān,Oddiy; oson
简历,jiǎnlì,Qisqa biografiya; rezyume
简直,jiǎnzhí,Faqat; xolos
剪刀,jiǎndāo,Qaychi
减肥,jiǎnféi,Ozmoq; oriqlamoq
减少,jiǎnshǎo,Qisqartirmoq; kamayuvchi
件,jiàn,Hisob so’z (kiyim va ishga)
健康,jiànkāng,Sog’lik
健身房,jiànshēnfáng,Sportzal; trenajor zali
建立,jiànlì,Yaratmoq; ishlab chiqmoq
建设,jiànshè,Qurmoq; qurilish
建议,jiànyì,Maslahat bermoq; maslahat
建筑,jiànzhù,Qurmoq; arxitektura
见面,jiànmiàn,Ko’rishmoq
键盘,jiànpán,Klaviatura
将来,jiānglái,Kelajak; kelajakda
讲,jiǎng,Aytmoq; aytib bermoq
讲究,jiǎngjiu,Chindan tegishli bo’lmoq
讲座,jiǎngzuò,Leksiya; dars mobayni
奖金,jiǎngjīn,Mukofot; pul mukofoti
降低,jiàngdī,Ozaytirmoq; pasaytirmoq
降落,jiàngluò,Pasaymoq; pasayib bormoq
酱油,jiàngyóu,Soya; soya sousi
教,jiāo,O’qitmoq
浇,jiāo,Sepmoq; sug’ormoq
交,jiāo,Bermoq; topshirmoq
交换,jiāohuàn,Almashtirmoq
交际,jiāojì,Aloqa qilmoq; yuqori tabaqalar orasida muloqotda bo’lmoq
交流,jiāoliú,Aloqa qilmoq; alishmoq
交通,jiāotōng,Aloqa
骄傲,jiāo'ào,G’ururlanmoq; g’urur; mag’rurlik
郊区,jiāoqū,Posyolka; tuman
胶水,jiāoshǐ,Yelim
脚,jiǎo,Oyoq; stul oyog’i
角,jiǎo,Shox; burchak
角度,jiǎodù,Burchak gradusi
狡猾,jiǎohuá,Ayyor; hiylakor; mug’ombir
饺子,jiǎozi,Chuchvara; barak
叫,jiào,Chaqirmoq;qichqirmoq
教材,jiàocái,O’quv qo’llanma
教练,jiàoliàn,O’qitmoq; tayyorlamoq
教室,jiàoshì,Auditoriya
教授,jiàoshòu,Professor
教训,jiàoxùn,Ta’lim bermoq
教育,jiàoyù,Maorif; ta’lim; bilim
接,jiē,Qabul qilmoq; olmoq; ulamoq
接触,jiēchù,Tegmoq; qo’l tekizmoq; aloqada bo’lmoq
接待,jiēdài,Qabul qilmoq (mehmonni)
接近,jiējìn,Yaqinlashmoq; yaqin kelmoq
接受,jiēshòu,Qabul qilmoq; davom ettirmoq
接着,jiēzhe,Ushlab olmoq; dast ko’tarmoq
街道,jiēdào,Ko’cha
阶段,jiēduàn,Davr; bosqich;pog’ona
结实,jiēshi,Hosil bermoq
节,jié,Bayram; bo’gim
节目,jiémù,Dastur
节日,jiérì,Bayram
节省,jiéshěng,Tejamoq; saqlamoq
节约,jiéyuē,Tejab ishlatmoq; tejamkorlik
结构,jiégòu,Tuzilish
结果,jiéguǒ,Natija
结合,jiéhé,Qo’shmoq; birlashtirmoq
结婚,jiéhūn,Turmush qurmoq
结论,jiélùn,Xulosa; natija
结束,jiéshù,Tugatmoq
结账,jiézhàng,Hisoblamoq; balans chiqarmoq
解放,jiěfàng,Ozod qilmoq
解决,jiějué,Hal qilmoq; qiribtashlamoq
解释,jiěshì,Tushuntirib bermoq
解说员,jiěshuōyuán,Ekskursiya rahbari
姐姐,jiějie,Opa
届,jiè,Hisob so’z (marta)
借,jiè,Qarz olmoq
借口,jièkǒu,Bahona; vaj
介绍,jièshào,Tanishtirmoq; tavsiya qilmoq
戒烟,jièyān,Chekishni tashlamoq
戒指,jièzhi,Uzuk
今天,jīntiān,Bugun
金属,jīnshǔ,Metall
紧,jǐn,Zich; tarang; yaqin
紧急,jǐnjí,Shoshilinch; favqulodda
紧张,jǐnzhāng,Tarang qilmoq; kuchli g’ayrat
尽管,jǐnguǎn,Dadillik bilan; -sa ham; -ga qaramasdan
谨慎,jǐnshèn,Ehtiyotkor; ehtiyotli
进,jìn,Kirmoq; bormoq
进步,jìnbù,Rivojlanish; yuksalish
进口,jìnkǒu,Import
进行,jinxing,Amalga oshirmoq; o’tkazmoq
近,jìn,Yaqin
近代,jìndài,Yangi davr
尽力,jìnlì,Bor kuchi bilan
尽量,jìnliàng,Harakat qilmoq
禁止,jìnzhǐ,Taqiqlamoq; man qilmoq
精彩,jīngcǎi,Ajoyib; o’zgacha
精力,jīnglì,Energiya; kuch
精神,jīngshén,Ruhiy; ma’naviy; diniy
经常,jīngcháng,Odatiy; odatda; odatdagi
经典,jīngdiǎn,Mumtoz; klassik
经过,jīngguò,O’tmoq (orqali)
经济,jīngjì,Iqtisod
经理,jīnglǐ,Boshliq; direktor
经历,jīnglì,Boshidan o’tkazmoq; ko’rgulik
经验,jīngyàn,Tajriba
经营,jīngyíng,Boshqarmoq
京剧,jīngjù,Pekin operasi
警察,jǐngchá,Militsiya
景色,jǐngsè,Manzara
敬爱,jìng'ài,Qadrli
竟然,jìngrán,Nihoyat; kutilmaganda
竞争,jìngzhēng,Raqib bo’lmoq
镜子,jìngzi,Ko’zgu
究竟,jiūjìng,Nihoyat
九,jiǔ,To’qqiz
久,jiǔ,Ancha payt; uzoq vaqt
酒吧,jiǔbā,Bar
旧,jiù,Eski; qari
就,jiù,Birdan
救,jiù,Qutqarmoq; yordam bermoq
救护车,jiùhùchē,Tez yordam mashinasi
舅舅,jiùjiu,Tog’a
居然,jūrán,To’satdan; kutilmaganda
桔子,júzi,Mandarin
举,jǔ,Ko’tarmoq; saylamoq; tanlamoq
举办,jǔbàn,Tashkillashtirmoq; yaratmoq
举行,jǔxíng,O’tkazmoq
具备,jùbèi,Ega bo’lmoq; xo’jayinlik qilmoq
具体,jùtǐ,Aniq; lo’nda
巨大,jùdà,Ulkan; bahaybat
聚会,jùhuì,Yig’ilmoq; to’planmoq; uchrashmoq
拒绝,jùjué,Tonmoq; rad etmoq
俱乐部,jùlèbù,Klub
距离,jùlí,Masofa; oraliq masofa
据说,jùshuō,Shunday aytishadi
句子,jùzi,Gap; fraza
捐,juān,Sadaqa qilmoq; qurbonlik qilmoq; soliq to’lamoq
卷,juǎn,Yig’ishtitrmoq; o’ramoq; qisqartirmoq
觉得,juéde,Tuyulmoq; his qilmoq
决定,juédìng,Hal qilmoq; o’rnatmoq
决赛,juésài,Final
决心,juéxīn,Jasorat; dadillik; qat’iyat
绝对,juéduì,Mutlaqo; butunlay
角色,juésè,Rol; qahramon
军事,jūnshì,Harbiy topshiriq; harbiy ish
均匀,jūnyún,Bir maromdagi; bir xil; bir tekis
咖啡,kāfēi,Kofe
卡车,kǎchē,Yuk mashina
开,kāi,Ochmoq; yoqmoq; haydamoq
开发,kāifā,O’zlashtirmoq; ishlab chiqmoq
开放,kāifàng,Ochilmoq; ochiq
开幕式,kāimùshì,Ochilish marosimi
开始,kāishǐ,Boshlamq; boshida
开玩笑,kāi wánxiào,Hazillashmoq
开心,kāixīn,Xursand bo’lmoq; xursand
砍,kǎn,Kesmoq; chopmoq; to’g’ramoq
看,kàn,Qaramoq; ko’rmoq; o’qimoq
看不起,kànbuqǐ,Jirkanmoq; kamsitmoq
看法,kànfǎ,Fikr; qarash;nuqtai nazar
看见,kànjiàn,Uchratmoq; ko’rmoq
看来,kànlái,Ko’rinib turmoq
抗议,kàngyì,Qarshilik qilmoq; qarshilik
考虑,kǎolǜ,O’ylamoq
考试,kǎoshì,Imtihon
烤鸭,kǎoyā,Qovurilgan o’rdak
棵,kē,Hisob so’z (daraxtga)
颗,kē,Hisob so’z (mayda yumaloq narsalarga)
科学,kēxué,Olim
咳嗽,késou,Yo’talmoq; yo’tal
渴,kě,Chanqamoq; suvsamoq
可爱,kě'ài,Yoqimtoy; dilbar
可见,kějiàn,Ko’rinib turmoq;ko’rinarli
可靠,kěkào,Ishonchli; vafodor
可怜,kělián,Achinarli
可能,kěnéng,Balkim
可怕,kěpà,Qo’rqinchli
可是,kěshì,Ammo
可惜,kěxī,Afsus;achinarli
可以,kěyǐ,Mumkin
课,kè,Dars
课程,kèchéng,Kurs (ma’ruza)
克,kè,Gramm
克服,kèfú,Yengmoq; uddalamoq
刻苦,kèkǔ,Chidamli; toqatli
客观,kèguān,Xolis; beg’araz
客人,kèrén,Mehmon
客厅,kètīng,Mehmonxona
肯定,kěndìng,Albatta; so’zsiz
空间,kōngjiān,Makon; fazo; havo; bo’shliq
空气,kōngqì,Havo; atmosfera
空调,kōngtiáo,Konditsioner
恐怖,kǒngbù,Terror; terrorga oid
恐怕,kǒngpà,Qo’rqmoq; havotirlanmoq
空闲,kòngxián,Bo’sh vaqt
控制,kòngzhì,Nazorat qilmoq
口,kǒu,Og’iz
口味,kǒuwèi,Ta’m
哭,kū,Yig’lamoq
苦,kǔ,Achchiq
裤子,kùzi,Shim
夸,kuā,Maqtanmoq
块,kuài,Hisob so’z (sovunga; soatga)
快,kuài,Tez; xursand
快乐,kuàilè,Xursand
会计,kuàijì,Hisobot berish; buxgalteriya
筷子,kuàizi,Tayoqcha (ovqatlanish qoshiqchalari)
宽,kuān,Keng; enli
矿泉水,kuàngquánshuǐ,Mineral suv
困,kùn,Toliqmoq; charchamoq; o’rab olmoq
困难,kùnnan,Qiyinchilik
扩大,kuòdà,Kengaytirmoq; kengaygan
拉,lā,Tortmoq; sudramoq; cho’zilmoq; yozilmoq
垃圾桶,lājītǒng,Axlat chelagi
辣,là,Achchiq
辣椒,làjiāo,Achchiq qalampir
蜡烛,làzhú,Sham
来,lái,Kelmoq
来不及,láibují,Ulgura olmaslik
来得及,láidejí,Ulgurmoq
来自,láizì,Kelmoq
拦,lán,To’smoq; g’ov bo’lmoq; to’xtatmoq
蓝,lán,Ko’k
懒,lǎn,Erinmoq; erinchoq; yalqov
烂,làn,Qayta qaynatmoq; chirimoq; irimoq
狼,láng,Bo’ri; vahshiy
浪费,làngfèi,Isrof qilmoq
浪漫,làngmàn,Romantik
劳动,láodòng,Ishlamoq; qiynalmoq; qiyin
劳驾,láojià,Marhamatli bo’ling; kechirasiz
老,lǎo,Keksa;qari
老百姓,lǎobǎixìng,Oddiy xalq
老板,lǎobǎn,Boshliq; boss
老虎,lǎohǔ,Yo’lbars
老师,lǎoshī,O’qituvchi
老实,lǎoshi,Vijdonli
老鼠,lǎoshǔ,Sichqon; kalamush
姥姥,lǎolao,Buvi (ona tomondan)
乐观,lèguān,Optimizm
了,le,- edi; - di (yordamchi fe’l)
雷,léi,Momaqaldiroq
类,lèi,Tur; xil
累,lèi,Charchamoq
冷,lěng,Sovuq
冷静,lěngjìng,Sovuqqon; hushyor
梨,lí,Nok
离,lí,Tark etmoq; - dan
离婚,líhūn,Ajrashmoq
离开,líkāi,Tark etmoq
厘米,límǐ,Santimetr
里,lǐ,Ichkari; ichida
礼拜天,lǐbàitiān,Yakshanba
礼貌,lǐmào,Odobli; aqlli; muloyim
礼物,lǐwù,Sovg’a
理发,lǐfà,Kesmoq; soch kesmoq
理解,lǐjiě,Xabardor bo’lmoq; tushunmoq; tushuncha
理论,lǐlùn,Nazariya
理想,lǐxiǎng,Orzu
理由,lǐyóu,Sabab; bahona; asos; dalil
粒,lì,Don; urug’
立方,lìfāng,Kub metr(m³)
立即,lìjí,Tezda; birdan
立刻,like,Tezda; birdan
厉害,lìhai,Kuchli; zararli; xavfli; shafqatsiz
力量,lìliàng,Kuch; kuch-quvvat; qudrat
力气,lìqi,Fizik kuch
例如,lìrú,Masalan; misol uchun
利润,lìrùn,Foyda; daromad
利息,lìxī,Foiz; foyda
利益,lìyì,Manfaat; ahamiyat; foyda
利用,lìyòng,Foydalanmoq
历史,lìshǐ,Tarix
俩,liǎ,Ikkalasi; ikkita
连,lián,Yig’ilmoq; qo’shilmoq; hatto
连忙,liánmáng,Shoshilmoq; shoshilinch
连续剧,liánxùjù,Serial
联合,liánhé,Qo’shilmoq
联系,liánxì,Aloqa qilmoq; aloqa
脸,liǎn,Yuz; bet
恋爱,liàn'ài,Sevgi
练习,liànxí,Mashq qilmoq; mashq
良好,liánghǎo,Ajoyib; yaxshi
凉快,liángkuai,Salqin
粮食,liángshi,G’alla; don; non mahsuloti
两,liǎng,Ikki
亮,liàng,Yorqin; yorug’
辆,liàng,Hisob so’z (transport vositalariga)
聊天,liáotiān,Suhbatlashmoq; gaplashmoq
了不起,liǎobuqi,Zo’r; a’lo
了解,liǎojiě,Aniqlab olmoq; tushuncha
邻居,línjū,Qo’shni
临时,línshí,Kerakli vaqtda
铃,ling,Qo’ng’iroq
零,ling,Nol
零件,língjiàn,Detal; qism
零钱,língqián,Mayda pul
零食,língshí,Yengil taom; yegulik
灵活,línghuó,Jonli; harakatchan; harakatlanadigan
领导,lǐngdǎo,Boshqarmoq; boshqaruvchi
领域,lǐngyù,Sfera; shar; gumbaz
另外,lìngwài,Bundan tashqari; -dan tashqari
留,liú,Saqlamoq; qoldirmoq
留学,liúxué,Xorijda o’qimoq; chet elda o’qish
流传,liúchuán,Tarqalmoq; yoyilmoq
流泪,liúlèi,Ko’z yoshini to’kmoq
流利,liúlì,Ravon
流行,liúxíng,Mashhur
浏览,liúlǎn,Tanishib bormoq
六,liù,Olti
龙,long,Ajdarho
楼,lóu,Bino; qavat
漏,lòu,O’tkazmoq; tommoq; oqmoq
路,lù,Yo’l; ko’cha
露,lù,– dek ko’rinmoq; tuyulmoq; shudring
陆地,lùdi,Yer; quruqlik
陆续,lùxù,Uzluksiz
录取,lùqǔ,Qabul qilmoq; olmoq
录音,lùyīn,Ovoz yozish
乱,luàn,Betartib; tartibsiz
轮流,lúnliú,Tartib bilan
论文,lùnwén,Maqola; bitim; xalqaro shartnoma
逻辑,luóji,Mantiq
落后,luòhòu,Orqada qolmoq
旅游,lǚyóu,Sayohat; turizm
绿,lǜ,Yashil
律师,lǜshī,Huquqshunos; yurist
妈妈,māma,Ona
麻烦,máfan,Ovora qilmoq; bezovta qilmoq
马,mǎ,Ot
马虎,mǎhu,Beparvo; sovuqqon
马上,mǎshàng,Tezda; zudlik bilan
骂,mà,So’kmoq; urishmoq
吗,ma ,So’roq yuklamasi (- mi)
买,mǎi,Sotib olmoq
卖,mài,Sotmoq
麦克风,màikèfēng,Mikrofon
馒头,mántou,Bo’g’irsoq
满,mǎn,To’ldirmoq; butun
满意,mǎnyì,Rozi bo’lmoq; qoniqmoq
满足,mǎnzú,Qanoatlanmoq
慢,màn,Astalashmoq; asta
忙,máng,Band bo’lmoq
猫,māo,Mushuk
毛,máo,Jun
毛病,máobìng,Kamchilik; xato; nuqson
毛巾,máojīn,Sochiq
矛盾,máodùn,Ikkilanmoq
冒险,màoxiǎn,Tavakkal qilmoq
贸易,màoyì,Savdo
帽子,màozi,Shapka
没,méi,Yo’q; - ma
没关系,méi guānxi,Hech qisi yo’q
眉毛,méimao,Qosh
煤炭,méitàn,Toshko’mir
每,měi,Har; har bir
美丽,měilì,Go’zal; chiroyli
美术,měishù,Nafis san’at
魅力,mèilì,Joziba
妹妹,mèimei,Singil
门,mén,Eshik; chiqish
梦,mèng,Tush; shirin hayol
迷路,mílù,Yo’lidan adashmoq
谜语,míyǔ,Topishmoq
米,mǐ,Guruch; metr
米饭,mǐfàn,Qaynatilgan guruch
蜜蜂,mìfēng,Asalari
密码,mìmǎ,Kod; shifr
密切,mìqiè,Maxfiy; yashirin; tor; tig’iz; puxta
秘密,mìmì,Sir
秘书,mìshū,Kotib; kotiba
棉花,miánhua,Paxta
免费,miǎnfèi,Tekin;bepul
面包,miànbāo,Non
面对,miànduì,Yuzidan; oldidan
面积,miànjī,Maydon
面临,miànlín,Yuzma-yuz turmoq
面条,miàntiáo,Ugra; lapsha
苗条,miáotiao,Nafis; latif; kelishgan
描写,miáoxiě,Tasvirlamoq; ta’riflab bermoq
秒,miǎo,Soniya
民主,mínzhǔ,Demokratiya
民族,mínzú,Millat
明白,míngbai,Tushunmoq; tushunarli
明确,míngquè,Aniq; oydin
明天,míngtiān,Ertaga
明显,míngxiǎn,Oydin; oshkora
明信片,míngxìnpiàn,Otkritka; ochiq xat
明星,míngxīng,Yulduz; taniqli san’atkor
名牌,míngpái,Mashhur marka; brend
名片,míngpiàn,Tashrif qog’ozi
名胜古迹,míngshèng gǔjì,Diqqatga sazovor joy
名字,míngzi,Ism; laqab
命令,mingling,Buyruq; farmon; farmoyish
命运,mìngyùn,Taqdir; qismat; tole peshona
摸,mō,Paypaslamoq; tegmoq
模仿,mófǎng,Taqlid qilmoq; o’xshatmoq
模糊,móhu,Xira; g’ira-shira; tumanli
摩托车,mótuōchē,Mototsikl
陌生,mòshēng,Notanish
某,mǒu,Birov; qandaydir
母亲,mǔqīn,Ona
目标,mùbiāo,Maqsad; niyat; muddao
目的,mùdì,Maqsad
目录,mùlù,Mundarija
目前,mùqián,Ayni payt
木头,mùtou,Daraxt
拿,ná,Olmoq
哪儿,nǎr,Qayerda?
哪怕,nǎpà,Hech bo’lmaganda
那儿,nàr,ana u
奶奶,nǎinai,Buvi
耐心,nàixīn,Sabr-toqat; bardosh
南,nán,Janub
难,nán,Qiyin; qiyinchilik
难道,nándào,Nahotki; nainki
难怪,nánguài,Ajablanarli joyi yo’q
难过,nánguò,Qiynalmoq
难看,nánkàn,Xunuk
难受,nánshòu,Chidash qiyin
男人,nánrén,Yigit
脑袋,nǎodai,Bosh; kalla
呢,ne,So’roq yuklamasi - chi?
内,nèi,Ichki
内科,nèikē,Ichki kasallik; terapiya
内容,nèiróng,Mazmun; ma’no
嫩,nèn,Yosh; nafis
能,néng,Qila olmoq; qodir; layoqatli
能干,nénggàn,Qodir; ishbilarmon
能力,nénglì,Qobiliyat; kuch
能源,néngyuán,Energiya manbai
你,nǐ,Sen
年,nián,Yil
年代,niándài,Yillar; o’n yil
年级,niánjí,Kurs; sinf
年纪,niánjì,Yosh
年龄,niánlíng,Yosh
年轻,niánqīng,Yosh; navqiron
念,niàn,O’qimoq
鸟,niǎo,Qush
您,nín,Siz
宁可,nìngkě,Afzal ko’rmoq
牛奶,niúnǎi,Sut
牛仔裤,niúzǎikù,Jinsi
浓,nóng,Qalin; pishiq
农村,nóngcūn,Qishloq
农民,nóngmín,Dehqon; dehqonchilik
农业,nóngyè,Qishloq xo’jaligi
弄,nòng,O’ynamoq; ermak qilmoq
努力,nǔlì,Tirishqoq
暖和,nuǎnhuo,Iliq
女儿,nǚ'ér,Qizim
女人,nǚrén,Ayol kishi
女士,nǚshì,Xonim
偶尔,ǒu'ěr,Ba’zan; ba’zida
偶然,ǒurán,Kutilmaganda
爬山,páshān,Tog’ga chiqmoq
拍,pāi,Urmoq; rasmga tushirmoq
排队,páiduì,Navbatda turmoq
排列,páiliè,Tartibga keltirmoq
排球,páiqiú,Volleyboll
派,pài,Jo’natmoq; hisob so’z (guruhga)
盘子,pánzi,Likopcha; patnis
判断,pànduàn,Aniqlamoq; hal qilmoq
盼望,pànwàng,Umidvor bo’lmoq
旁边,pángbiān,Yon taraf
胖,pang,Semiz; qalin; yo’g’on
跑步,pǎobù,Yugurmoq
陪,péi,Eltib qo’ymoq; tuzmoq; ko’nglini olmoq
赔偿,péicháng,Badal to’lamoq
培养,péiyǎng,Tarbiya qilmoq; o’stirmoq
